S.No,Roll_No,Student_Name,Father_Name,College,Degree_Branch,Target_Pct,Actual_Pct,Total_Days,Present_Days,Leave_Days,Total_Hours,Day_1_01/06,Day_2_02/06,Day_3_03/06,Day_4_04/06,Day_5_05/06,Day_6_06/06,Day_7_08/06,Day_8_09/06,Day_9_10/06,Day_10_11/06,Day_11_12/06,Day_12_13/06,Day_13_15/06,Day_14_16/06,Day_15_17/06,Day_16_18/06,Day_17_19/06,Day_18_20/06,Day_19_22/06,Day_20_23/06,Day_21_24/06,Day_22_25/06,Day_23_26/06,Day_24_27/06,Day_25_29/06,Day_26_30/06,Day_27_01/07,Day_28_02/07,Day_29_03/07,Day_30_04/07,Day_31_06/07,Day_32_07/07,Day_33_08/07,Day_34_09/07,Day_35_10/07,Day_36_11/07,Day_37_13/07,Day_38_14/07,Day_39_15/07,Day_40_16/07,Day_41_17/07,Day_42_18/07,Day_43_20/07,Day_44_21/07,Day_45_22/07,Day_46_23/07,Day_47_24/07,Day_48_25/07,Day_49_27/07,Day_50_28/07
1,PCTM-2026-001,Candidate 01 Singh,Mr. Father 01,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
2,PCTM-2026-002,Candidate 02 Singh,Mr. Father 02,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
3,PCTM-2026-003,Candidate 03 Singh,Mr. Father 03,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
4,PCTM-2026-004,Candidate 04 Singh,Mr. Father 04,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
5,PCTM-2026-005,Candidate 05 Singh,Mr. Father 05,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
6,PCTM-2026-006,Candidate 06 Singh,Mr. Father 06,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
7,PCTM-2026-007,Candidate 07 Singh,Mr. Father 07,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
8,PCTM-2026-008,Candidate 08 Singh,Mr. Father 08,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
9,PCTM-2026-009,Candidate 09 Singh,Mr. Father 09,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
10,PCTM-2026-010,Candidate 10 Singh,Mr. Father 10,"Poddar College, Bharatpur",BCA - Computer Science,100.0%,100.0%,50,50,0,175.0,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
